GC 74 invokes.
Index    Invoke Time(sec)       Use Size(byte)     Total Size(byte)         Total Object                    GC Time(ms)
    1               0.037               102280               408000                10200         0.75799999999995315569
    2               0.062               106440               408000                10200         0.36200000000005672085
    3               0.088               102440               408000                10200         0.23200000000000997602
    4               0.113               102440               408000                10200         0.23700000000001497646
    5               0.135               102440               408000                10200         0.21199999999987895194
    6               0.159               102520               408000                10200         0.17000000000011450396
    7               0.184               102600               408000                10200         0.24500000000010624390
    8               0.208               102680               408000                10200         0.25900000000006473400
    9               0.231               102760               408000                10200         0.24799999999991495514
   10               0.256               102840               408000                10200         0.17499999999998072653
   11               0.276               102840               408000                10200         0.19400000000002748379
   12               0.301               102920               408000                10200         0.23700000000004273204
   13               0.320               103000               408000                10200         0.19200000000013650592
   14               0.348               103000               408000                10200         0.27900000000008473577
   15               0.373               103000               408000                10200         0.20300000000006424017
   16               0.393               103080               408000                10200         0.22599999999983744203
   17               0.413               103160               408000                10200         0.25799999999975842258
   18               0.433               103240               408000                10200         0.22400000000022401991
   19               0.449               103320               408000                10200         0.22599999999983744203
   20               0.471               103400               408000                10200         0.25100000000011224444
   21               0.493               103480               408000                10200         0.25600000000025602276
   22               0.514               103480               408000                10200         0.21600000000010499690
   23               0.531               103560               408000                10200         0.19699999999966966158
   24               0.548               103640               408000                10200         0.23599999999979193177
   25               0.564               103640               408000                10200         0.24199999999985344346
   26               0.583               103640               408000                10200         0.25600000000014500046
   27               0.601               103680               408000                10200         0.24499999999960664354
   28               0.619               103760               408000                10200         0.21700000000024477487
   29               0.636               103840               408000                10200         0.25299999999983668886
   30               0.655               103880               408000                10200         0.24899999999983268850
   31               0.674               103880               408000                10200         0.20800000000009699619
   32               0.690               103880               408000                10200         0.23300000000003873168
   33               0.707               103880               408000                10200         0.26799999999993495692
   34               0.728               103880               408000                10200         0.24200000000051957727
   35               0.745               103880               408000                10200         0.20500000000023277380
   36               0.762               103880               408000                10200         0.25399999999975442222
   37               0.780               103880               408000                10200         0.27200000000016100188
   38               0.800               103880               408000                10200         0.23599999999979193177
   39               0.818               103880               408000                10200         0.22399999999989095301
   40               0.836               103880               408000                10200         0.25099999999977917753
   41               0.854               103880               408000                10200         0.25200000000002997780
   42               0.872               103880               408000                10200         0.25799999999986944488
   43               0.892               103880               408000                10200         0.24899999999994371080
   44               0.910               103880               408000                10200         0.25299999999983668886
   45               0.929               103880               408000                10200         0.21900000000085739771
   46               0.947               103880               408000                10200         0.27099999999991020161
   47               0.967               103880               408000                10200         0.27199999999960589037
   48               0.989               103880               408000                10200         0.27600000000038704684
   49               1.009               103880               408000                10200         0.23199999999956588681
   50               1.025               103880               408000                10200         0.24599999999930233230
   51               1.043               103880               408000                10200         0.24199999999963139885
   52               1.061               103880               408000                10200         0.27899999999991820232
   53               1.081               103880               408000                10200         0.26100000000006673417
   54               1.100               103880               408000                10200         0.26099999999917855575
   55               1.121               103880               408000                10200         0.25800000000031353409
   56               1.142               103880               408000                10200         0.23499999999998522071
   57               1.161               103880               408000                10200         0.25000000000030553338
   58               1.180               103880               408000                10200         0.22699999999975517539
   59               1.195               103880               408000                10200         0.23500000000065135453
   60               1.211               103880               408000                10200         0.20099999999989570654
   61               1.226               103880               408000                10200         0.21000000000004348522
   62               1.242               103880               408000                10200         0.20200000000047957371
   63               1.257               103880               408000                10200         0.19299999999966566122
   64               1.271               103880               408000                10200         0.21900000000041330850
   65               1.288               103880               408000                10200         0.21399999999971441866
   66               1.304               103880               408000                10200         0.19599999999941886131
   67               1.318               103880               408000                10200         0.19899999999872797218
   68               1.332               103880               408000                10200         0.20300000000017526247
   69               1.347               103880               408000                10200         0.18899999999955063856
   70               1.359               103880               408000                10200         0.21499999999985419663
   71               1.375               103880               408000                10200         0.21500000000096441966
   72               1.390               103880               408000                10200         0.20000000000042206239
   73               1.404                    0                    0                    0         0.12499999999970867748
