GC 95 invokes.
Index    Invoke Time(sec)       Use Size(byte)     Total Size(byte)         Total Object                    GC Time(ms)
    1               0.036               179560               734400                18360         1.86000000000000054179
    2               0.053               169160               734400                18360         1.56899999999998707167
    3               0.072               169320               734400                18360         1.88599999999999878852
    4               0.093               169160               734400                18360         2.26299999999998746603
    5               0.112               169320               734400                18360         0.79899999999999415934
    6               0.126               169160               734400                18360         1.41000000000002234657
    7               0.143               169320               734400                18360         1.00800000000000888889
    8               0.160               169160               734400                18360         1.34100000000003660716
    9               0.178               169320               734400                18360         0.85499999999999465317
   10               0.196               169480               734400                18360         1.33899999999997909583
   11               0.215               169640               734400                18360         0.90400000000001590195
   12               0.232               169800               734400                18360         1.28999999999995784705
   13               0.250               169960               734400                18360         0.86399999999997589839
   14               0.267               170120               734400                18360         0.85799999999996989786
   15               0.287               170280               734400                18360         0.88899999999997314504
   16               0.305               170440               734400                18360         1.01600000000001688960
   17               0.321               170600               734400                18360         0.88599999999999790035
   18               0.341               170760               734400                18360         0.83299999999997265121
   19               0.357               170920               734400                18360         1.23600000000001486455
   20               0.375               171080               734400                18360         0.88599999999999790035
   21               0.392               171240               734400                18360         0.91499999999999914735
   22               0.411               171400               734400                18360         0.86300000000005816503
   23               0.427               171560               734400                18360         0.82800000000005091749
   24               0.446               171720               734400                18360         0.83100000000002616218
   25               0.464               171880               734400                18360         1.09200000000009289636
   26               0.483               172040               734400                18360         1.13399999999996836664
   27               0.501               172200               734400                18360         0.91499999999999914735
   28               0.519               172360               734400                18360         0.95199999999995288391
   29               0.537               172520               734400                18360         0.86600000000003340972
   30               0.555               172680               734400                18360         1.05800000000000338218
   31               0.573               172840               734400                18360         0.88999999999994638955
   32               0.589               173000               734400                18360         0.93799999999999439382
   33               0.605               173160               734400                18360         0.83700000000008767387
   34               0.623               173320               734400                18360         0.86500000000000465405
   35               0.642               173480               734400                18360         0.82000000000004291678
   36               0.658               173640               734400                18360         0.89299999999992163424
   37               0.675               173800               734400                18360         0.95000000000000639488
   38               0.693               173960               734400                18360         0.98399999999998488676
   39               0.710               174120               734400                18360         0.88300000000007816681
   40               0.727               174280               734400                18360         0.96099999999998964029
   41               0.745               174440               734400                18360         1.16199999999999636913
   42               0.762               174600               734400                18360         0.82300000000001816147
   43               0.779               174760               734400                18360         0.80899999999994864908
   44               0.796               174920               734400                18360         0.94300000000002714984
   45               0.815               175080               734400                18360         0.82899999999996865085
   46               0.836               175240               734400                18360         0.84199999999989838528
   47               0.855               175400               734400                18360         1.05899999999992111555
   48               0.877               175560               734400                18360         0.89799999999995439026
   49               0.895               175720               734400                18360         1.06700000000004013856
   50               0.915               169160               734400                18360         1.74099999999999255351
   51               0.936               169320               734400                18360         0.83900000000003416289
   52               0.957               169480               734400                18360         0.86499999999989363175
   53               0.976               169640               734400                18360         1.19599999999997486100
   54               0.996               169800               734400                18360         1.06199999999989636024
   55               1.013               169960               734400                18360         0.84899999999987763033
   56               1.031               170120               734400                18360         1.11300000000014165380
   57               1.049               170280               734400                18360         0.81699999999984562749
   58               1.069               170440               734400                18360         1.31700000000001260503
   59               1.089               170600               734400                18360         0.93899999999980110488
   60               1.107               170760               734400                18360         0.85999999999986087573
   61               1.126               170920               734400                18360         1.00300000000008715517
   62               1.144               171080               734400                18360         0.96600000000002239631
   63               1.161               171240               734400                18360         0.96999999999991537436
   64               1.180               171400               734400                18360         1.28100000000008762413
   65               1.199               171560               734400                18360         1.07499999999993711697
   66               1.214               171720               734400                18360         0.83999999999995189626
   67               1.232               171880               734400                18360         1.11099999999986209787
   68               1.249               172040               734400                18360         0.82599999999999340616
   69               1.268               172200               734400                18360         0.89300000000003265654
   70               1.288               172360               734400                18360         0.90800000000013092460
   71               1.304               172520               734400                18360         0.86900000000023069902
   72               1.321               172680               734400                18360         0.86399999999997589839
   73               1.337               172840               734400                18360         1.07699999999999462830
   74               1.359               173000               734400                18360         0.81799999999998540545
   75               1.376               173160               734400                18360         1.11100000000008414247
   76               1.396               173320               734400                18360         1.03400000000020142465
   77               1.415               173480               734400                18360         0.93399999999999039346
   78               1.432               173640               734400                18360         0.85000000000001740830
   79               1.450               173800               734400                18360         1.28399999999984082422
   80               1.468               173960               734400                18360         0.88799999999999990052
   81               1.484               174120               734400                18360         0.85999999999986087573
   82               1.506               174280               734400                18360         0.91499999999999914735
   83               1.523               174440               734400                18360         0.98599999999993137578
   84               1.540               174600               734400                18360         0.82599999999999340616
   85               1.559               174760               734400                18360         0.90599999999985136867
   86               1.575               174920               734400                18360         1.12200000000006738787
   87               1.594               175080               734400                18360         0.87000000000014843238
   88               1.611               175240               734400                18360         1.13699999999994361133
   89               1.628               175400               734400                18360         0.89199999999989287858
   90               1.650               175560               734400                18360         0.97899999999984110843
   91               1.667               175720               734400                18360         0.87499999999995914379
   92               1.683               175880               734400                18360         0.87900000000007416645
